ref	value	footprint	Item count
C1	10n		1
C2	0.1u	CAP_0603	1
C3	10n		1
C4,C5	22p	CAP_0603	2
C6	1u	CAP_0603	1
C7	0.1u	CAP_0603	1
C8	4u7	CAP_0603	1
C9,C10	0.1u	CAP_0603	2
C11	1n	CAP_0603	1
C12,C13	0.1u	CAP_0603	2
C14	4u7	CAP_0603	1
C15	1u	CAP_0603	1
C16	1n	CAP_0603	1
C17,C18	0.1u	CAP_0603	2
C19	10u	CAP_0805	1
C20,C21	220p	CAP_0603	2
C22	*	CAP_0603	1
C23..C25	0.1u	CAP_0603	3
C26	10u	CAP_0805	1
C27..C29	0.1u	CAP_0603	3
C30	10u	CAP_0805	1
C31..C33	*	CAP_0603	3
C35	1u	CAP_0603	1
C36,C37	20pF	CAP_0603	2
C38	1u	CAP_0603	1
C39..C42	0.1u	CAP_0603	4
C43	10u	CAP_0805	1
C44	0.1u	CAP_0603	1
C45	1u	CAP_0603	1
C46	0.1u	CAP_0603	1
C47	1u	CAP_0603	1
C48	0.1u	CAP_0603	1
C49	1u	CAP_0603	1
D1,D2	D_SHOTTKY	~	2
DA1	VS1011		1
DA2	TPA6211		1
DA3	NCP583SQ		1
DD1	PN532		1
DD2	M24C04		1
DD3	STM32F205RX-64	~	1
F1,F2	FUSE0R	~	2
HOLE1..HOLE4	HOLE_METALLED		4
L1,L2	560n	IND_0603	2
Q1	IRLML9303		1
Q2	BC817	~	1
Q3..Q5	IRLML6302	~	3
Q6..Q8	LED_RGB	~	3
R1,R2	4K7	RES_0603	2
R3	20		1
R4	1k	RES_0603	1
R5	20		1
R6	150	RES_0603	1
R7,R8	10k		2
R9	1k	RES_0603	1
R10	220R	RES_0603	1
R11,R12	100R	RES_0603	2
R13	1k	RES_0603	1
R14	2k7	RES_0603	1
R15,R16	100k	RES_0603	2
R17	1	RES_0603	1
R18	100R	RES_0603	1
R19	1	RES_0603	1
R20..R26	100R	RES_0603	6
SW1	SS9	~	1
SW2..SW4	BUTTON		3
VCap1,VCap2	2.2u	CAP_0603	2
XL1	CONN_4		1
XL2,XL3	CONN_4	~	2
XL4	ST_SWD		1
XL5	USB_MICRO_B		1
XL6	CONN_2		1
XL7	CONN_3		1
XL8	CONN_MICROSD		1
XL9,XL10	CONN_1		2
XL11..XL13	CONN_4	~	3
XTAL1	27.12MHz	CRYSTAL	1
XTAL2	12.0MHz	0532	1
